x1,x2,x3,x4,x5,x6,x7,x8,y
0.634,736,0.4840 ,14183,0.5215,0.0286 ,0.0200 ,65,1.0324
0.643,737,0.4881 ,19265,0.6583,0.0289 ,0.0183 ,66,0.9168
0.651,737,0.4849 ,12028,0.7101,0.0289 ,0.0118 ,67,0.9171
0.324,470,0.4334 ,133,0.8126,0.0064 ,0.0107 ,19,1.045
0.347,474,0.4494 ,189,0.774,0.0067 ,0.0184 ,20,0.9436
0.367,477,0.4650 ,343,0.7899,0.0072 ,0.0392 ,20,1.0006
0.385,478,0.4801 ,468,0.7111,0.0071 ,0.0390 ,21,0.9481
0.402,478,0.4827 ,564,0.6622,0.0074 ,0.0379 ,23,1.003
0.422,481,0.4555 ,842,0.5649,0.0148 ,0.0394 ,25,1.014
0.439,484,0.4579 ,997,0.5323,0.0165 ,0.0429 ,28,1.0206
0.454,485,0.4590 ,1215,0.552,0.0171 ,0.0477 ,32,0.8703
0.469,486,0.4550 ,1794,0.6264,0.0175 ,0.0313 ,37,0.8079
0.483,488,0.4517 ,2195,0.5592,0.0190 ,0.0193 ,43,0.7197
0.497,488,0.4435 ,3094,0.7879,0.0194 ,0.0133 ,45,0.9063
0.51,490,0.4343 ,4201,0.7699,0.0198 ,0.0109 ,47,0.9427
0.523,487,0.4284 ,9429,0.6989,0.0203 ,0.0111 ,48,1.0052
0.535,487,0.4288 ,10591,0.6564,0.0211 ,0.0119 ,48,0.9209
0.547,485,0.4112 ,6406,1.4654,0.0216 ,0.0114 ,49,1.0312
0.558,481,0.3961 ,7563,1.5669,0.0219 ,0.0120 ,53,1.0061
0.569,478,0.4048 ,8355,1.5169,0.0212 ,0.0134 ,54,0.9588
0.578,471,0.4078 ,7823,1.6521,0.0213 ,0.0118 ,55,1.0359
0.586,446,0.4027 ,4823,1.6704,0.0235 ,0.0089 ,56,1.0351
0.401,688,0.5568 ,249,0.7461,0.0265 ,0.0371 ,26,0.3794
0.424,691,0.5632 ,392,0.7707,0.0266 ,0.0472 ,29,0.395
0.443,692,0.5672 ,427,0.7066,0.0276 ,0.0585 ,30,0.385
0.461,693,0.5663 ,763,0.7993,0.0285 ,0.0634 ,29,0.4019
0.478,692,0.5658 ,1067,0.8277,0.0294 ,0.0566 ,32,0.4182
0.498,697,0.5561 ,1930,0.8316,0.0306 ,0.0638 ,32,0.4325
0.515,698,0.5480 ,2557,0.8422,0.0328 ,0.0562 ,33,0.4642
0.53,696,0.5359 ,3387,0.5136,0.0332 ,0.0503 ,35,0.3807
0.545,698,0.5236 ,4232,0.4835,0.0341 ,0.0380 ,42,0.3914
0.559,700,0.5156 ,4063,0.785,0.0348 ,0.0280 ,43,0.4158
0.573,700,0.4949 ,4876,0.8595,0.0361 ,0.0145 ,44,0.4509
0.586,700,0.4985 ,5247,0.9047,0.0376 ,0.0186 ,45,0.4593
0.599,698,0.4873 ,8150,0.9815,0.0400 ,0.0150 ,33,0.4972
0.611,696,0.4784 ,9297,1.0396,0.0415 ,0.0156 ,51,0.5627
0.623,694,0.4703 ,6280,1.1898,0.0427 ,0.0167 ,55,0.6263
0.634,690,0.4575 ,7385,1.2239,0.0421 ,0.0171 ,58,0.6818
0.645,685,0.4769 ,6768,1.223,0.0452 ,0.0182 ,60,0.8526
0.654,680,0.4816 ,6897,1.3558,0.0463 ,0.0152 ,61,1.0015
0.662,675,0.4722 ,4510,1.2489,0.0474 ,0.0115 ,62,1.0152
0.432,696,0.6071 ,193,0.4406,0.0350 ,0.0470 ,31,0.2744
0.455,699,0.6067 ,425,0.4303,0.0360 ,0.0485 ,32,0.3141
0.474,785,0.5941 ,490,0.3983,0.0361 ,0.0587 ,28,0.3331
0.492,790,0.5919 ,994,0.4141,0.0369 ,0.0562 ,28,0.3384
0.509,798,0.5835 ,1261,0.4094,0.0402 ,0.0596 ,28,0.3363
0.529,810,0.5642 ,1752,0.417,0.0424 ,0.0560 ,30,0.3772
0.546,815,0.5482 ,2702,0.3819,0.0450 ,0.0567 ,35,0.3923
0.561,820,0.5368 ,5099,0.4431,0.0469 ,0.0633 ,40,0.3986
0.576,824,0.5256 ,8176,0.4426,0.0500 ,0.0815 ,45,0.4187
0.59,826,0.5051 ,7621,0.4753,0.0533 ,0.0316 ,46,0.4105
0.604,827,0.4953 ,8427,0.4912,0.0548 ,0.0296 ,46,0.4278
0.617,828,0.4848 ,11004,0.5121,0.0558 ,0.0275 ,46,0.4463
0.63,830,0.4867 ,14713,0.4772,0.0569 ,0.0255 ,48,0.4864
0.642,572,0.4842 ,11388,0.8387,0.0578 ,0.0158 ,71,0.594
0.654,832,0.4794 ,7223,0.9519,0.0591 ,0.0113 ,50,0.6521
0.665,834,0.4704 ,7501,1.0146,0.0614 ,0.0132 ,54,0.6002
0.676,836,0.4853 ,7498,1.0301,0.0615 ,0.0119 ,55,0.6438
0.685,839,0.4885 ,7002,1.186,0.0622 ,0.0079 ,56,0.6723
0.693,840,0.4763 ,5132,1.0728,0.0615 ,0.0057 ,56,0.7085
0.367,808,0.5576 ,169,0.5497,0.0237 ,0.0396 ,25,1.0802
0.39,799,0.5681 ,368,0.5007,0.0237 ,0.0513 ,25,0.3618
0.41,790,0.5715 ,528,0.4947,0.0250 ,0.0496 ,27,0.3841
0.428,800,0.5765 ,644,0.4782,0.0261 ,0.0503 ,27,0.4045
0.445,806,0.5717 ,841,0.5029,0.0268 ,0.0440 ,30,0.4256
0.465,799,0.5764 ,1099,0.4727,0.0281 ,0.0477 ,31,0.4167
0.482,795,0.5662 ,1957,0.4204,0.0294 ,0.0432 ,32,0.4559
0.497,793,0.5580 ,3444,0.4792,0.0320 ,0.0394 ,37,0.45
0.512,790,0.5466 ,2899,0.4903,0.0329 ,0.0319 ,41,0.4487
0.526,789,0.5312 ,4325,0.4561,0.0339 ,0.0206 ,46,1.1137
0.54,787,0.5189 ,4493,0.5206,0.0351 ,0.0214 ,48,0.4525
0.553,786,0.5000 ,6276,0.6491,0.0372 ,0.0242 ,51,0.4472
0.566,784,0.4965 ,9894,0.6263,0.0389 ,0.0256 ,56,0.4528
0.578,783,0.5025 ,9619,0.5593,0.0409 ,0.0221 ,62,0.4656
0.59,781,0.4895 ,5537,1.0003,0.0437 ,0.0204 ,66,0.4828
0.601,780,0.4768 ,6150,1.0306,0.0474 ,0.0197 ,67,0.4823
0.612,781,0.4820 ,4745,0.9573,0.0483 ,0.0212 ,65,0.5137
0.621,778,0.4901 ,4796,1.0514,0.0485 ,0.0125 ,68,0.5204
0.629,779,0.4841 ,4705,0.9505,0.0485 ,0.0097 ,70,0.5131
0.534,398,0.5126 ,3181,0.4576,0.0191 ,0.0403 ,39,0.2358
0.557,401,0.5063 ,4282,0.4411,0.0254 ,0.0453 ,41,0.2478
0.577,405,0.5017 ,4192,0.4258,0.0252 ,0.0472 ,45,0.2619
0.595,408,0.4987 ,4918,0.4609,0.0257 ,0.0478 ,46,0.2774
0.612,412,0.4641 ,6422,0.4811,0.0270 ,0.0542 ,48,0.2794
0.632,415,0.4730 ,7177,0.4951,0.0249 ,0.0504 ,52,0.2949
0.649,419,0.4650 ,8663,0.502,0.0261 ,0.0462 ,57,0.3183
0.664,422,0.4459 ,11138,0.483,0.0273 ,0.0436 ,63,0.3272
0.679,426,0.4224 ,13012,0.4932,0.0279 ,0.0427 ,66,0.3345
0.693,431,0.4161 ,13678,0.5006,0.0298 ,0.0467 ,71,0.367
0.707,436,0.3939 ,16622,0.5385,0.0305 ,0.0474 ,81,0.4041
0.72,443,0.3610 ,22562,0.5489,0.0326 ,0.0431 ,87,0.4375
0.733,454,0.3384 ,27303,0.5275,0.0356 ,0.0352 ,93,0.4563
0.745,459,0.3281 ,37824,0.4966,0.0365 ,0.0334 ,97,0.4675
0.757,472,0.3138 ,44861,0.535,0.0385 ,0.0278 ,101,0.4851
0.768,483,0.2976 ,56789,0.537,0.0395 ,0.0311 ,104,0.5233
0.778,495,0.2999 ,60204,0.5244,0.0476 ,0.0313 ,102,0.5321
0.787,503,0.2970 ,60712,0.5538,0.0492 ,0.0289 ,104,0.5461
0.795,511,0.2825 ,41925,0.5362,0.0510 ,0.0308 ,111,0.5788
0.498,215,0.5506 ,562,0.5676,0.0197 ,0.0657 ,85,0.245
