城市,省份,年份,单位面积建材碳排放（kgco2/m2),施工面积(万平方米),建筑面积(万平方米),电力消费量（亿千瓦小时）,电网因子（kgco2/kwh),人均地区生产总值(元）,第三产业比重,总人口（万人）,城镇化率,能源结构,气候区,co2总量（万吨）,经度,纬度
武汉市,湖北省,2010,393.5437942,14008.57565,466299.85,535799.0,0.372,58961.0,0.5144,836.73,0.674265773,0.281169575,3,10602.64568,114.2999353,30.5951051
武威市,甘肃省,2010,168.391796,275.2008352,11590.87583,10457.0,0.612,10621.0,0.3356,191.26,0.197294782,0.43754724,2,193.3501698,102.6359886,37.928881
西安市,陕西省,2010,378.8426325,9186.396892,370457.9203,403385.0,0.87,38341.0,0.522,782.73,0.493045367,0.363275138,2,7965.336681,108.9423363,34.261004
西宁市,青海省,2010,340.2334097,2316.832966,95082.96834,77600.0,0.226,28428.0,0.4505,220.87,0.471958165,0.495294087,6,1733.526424,101.440811,36.824463
咸宁市,湖北省,2010,393.5437942,820.2710335,27304.15065,32527.0,0.372,21129.0,0.349,290.96,0.269697553,0.281169575,3,620.8370752,114.3169418,29.8437545
咸阳市,陕西省,2010,378.8426325,1023.431143,41271.69524,45335.0,0.87,22477.0,0.2932,520.09,0.223455556,0.363275138,2,887.3961927,108.7128495,34.3323227
湘潭市,湖南省,2010,348.9628441,547.08942,23862.58827,59897.0,0.552,32321.0,0.334,288.98,0.289295453,0.214326993,3,671.7211117,112.626292,27.681864
襄阳市,湖北省,2010,393.5437942,1466.741327,48823.04082,74928.0,0.372,27969.0,0.3285,591.07,0.325530309,0.281169575,3,1110.129894,112.1163785,32.010998
孝感市,湖北省,2010,393.5437942,675.3439132,22479.99891,37060.0,0.372,16630.0,0.3354,531.05,0.304820638,0.281169575,3,511.1463439,113.9516901,30.919414
忻州市,山西省,2010,392.610368,362.2684361,19188.37585,12924.0,0.88,14193.0,0.4415,307.55,0.230326776,0.249904023,2,364.137873,112.385805,38.76502
新乡市,河南省,2010,269.7426061,440.7231855,39953.40375,70908.0,0.844,21196.0,0.291,603.86,0.216533634,0.318968178,3,987.98851,114.051111,35.308611
新余市,江西省,2010,201.8977398,110.7184623,9044.071536,35768.0,0.764,55492.0,0.301,118.01,0.359677993,0.309924954,3,217.9669852,114.8867147,27.853572
信阳市,河南省,2010,269.7426061,509.8058634,46216.03801,51956.0,0.844,16936.0,0.3141,870.22,0.188953138,0.318968178,3,1142.854181,114.853333,32.075
邢台市,河北省,2010,570.6571512,332.5448432,26885.38487,44733.0,0.915,17189.0,0.2874,732.03,0.263237572,0.33552815,2,725.5526102,114.499746,37.0616519
徐州市,江苏省,2010,893.3993105,644.9000202,40593.80582,141959.0,0.736,34084.0,0.3971,972.89,0.35839468,0.447119687,3,1840.552915,117.1810431,34.2665258
许昌市,河南省,2010,269.7426061,266.2079114,24132.86279,34068.0,0.844,30536.0,0.201,489.64,0.281834817,0.318968178,3,596.7699599,113.714722,34.147778
宣城市,安徽省,2010,319.9925166,324.5250108,13514.52449,23221.0,0.791,20754.0,0.3595,278.36,0.183820919,0.417003345,3,430.9231153,118.7540167,30.9412541
雅安市,四川省,2010,744.5769505,104.8192301,3737.597386,15648.0,0.289,18787.0,0.2748,154.9,0.232969658,0.277207145,3,173.4043117,102.7416508,29.8931184
烟台市,山东省,2010,382.8736244,2682.331516,162906.2994,105294.0,0.924,62254.0,0.3344,651.14,0.613185355,0.331853926,2,3368.861594,121.4425255,37.461928
延安市,陕西省,2010,378.8426325,88.71714879,3577.67804,20309.0,0.87,40621.0,0.2019,230.22,0.283532273,0.363275138,2,76.92482349,109.4873978,36.602796
盐城市,江苏省,2010,893.3993105,519.7363562,32715.26757,70189.0,0.736,31640.0,0.3695,816.12,0.37278562,0.447119687,3,1483.334215,120.1577019,33.349559
扬州市,江苏省,2010,893.3993105,518.7516787,32653.28617,90253.0,0.736,49786.0,0.3762,459.12,0.497068305,0.447119687,3,1480.523933,119.4077658,32.3968554
阳江市,广东省,2010,376.0117897,289.2085998,20480.66204,31657.0,0.638,26694.0,0.3562,282.81,0.453162901,0.473068833,4,424.4789613,111.7831393,22.0958223
阳泉市,山西省,2010,392.610368,866.0036804,45869.86459,22000.0,0.88,31898.0,0.3901,130.78,0.619623796,0.249904023,2,870.4725744,113.5740284,37.8563328
伊春市,黑龙江省,2010,151.2243516,37.82658649,8560.127664,42199.0,0.816,15924.0,0.3041,126.95,0.852289878,0.2004023,1,110.6561617,129.1847514,47.9433709
宜宾市,四川省,2010,744.5769505,530.0176737,18899.13396,43256.0,0.289,19499.0,0.2501,539.02,0.1863916,0.277207145,3,876.8176391,104.718661,28.58689
宜昌市,湖北省,2010,393.5437942,1456.479282,48481.45076,69493.0,0.372,38181.0,0.3107,398.55,0.340990591,0.281169575,3,1102.362878,111.2803512,30.6941332
宜春市,江西省,2010,201.8977398,225.6545291,18432.65939,24740.0,0.764,16075.0,0.2447,557.93,0.271239403,0.309924954,3,444.2369989,115.0153957,28.3803015
益阳市,湖南省,2010,348.9628441,533.6583474,23276.76054,34480.0,0.552,16839.0,0.3671,476.36,0.22117978,0.214326993,3,655.2303249,112.056694,28.438707
银川市,宁夏回族自治区,2010,329.2506938,2586.650972,61559.62088,56300.0,0.818,41520.0,0.4464,158.8,0.666410579,0.415716446,2,1211.423121,106.2261926,38.4852037
鹰潭市,江西省,2010,201.8977398,59.09539983,4827.225852,11214.0,0.764,30769.0,0.2771,121.92,0.288416995,0.309924954,3,116.3387377,117.1143221,28.2378405
营口市,辽宁省,2010,656.3906884,798.6194926,42450.96442,55733.0,0.836,41452.0,0.3696,235.53,0.476132128,0.238490002,1,1043.98704,122.2357736,40.6747155
永州市,湖南省,2010,348.9628441,614.943568,26822.20609,49100.0,0.552,14874.0,0.3883,610.65,0.163271268,0.214326993,3,755.0330202,111.6979977,25.781344
榆林市,陕西省,2010,378.8426325,370.4201882,14937.85802,16238.0,0.87,52480.0,0.2611,364.5,0.187656516,0.363275138,2,321.1837619,109.7290052,38.2851459
玉林市,广西壮族自治区,2010,192.4587476,216.2056261,21090.80857,38762.0,0.482,15011.0,0.3512,674.59,0.109900532,0.336729399,4,481.0811794,110.2143149,22.4199189
玉溪市,云南省,2010,164.9458762,951.3729922,24094.17636,21413.0,0.415,32068.0,0.2837,230.6,0.162217693,0.341849095,5,507.6299725,102.527044,24.3511487
岳阳市,湖南省,2010,348.9628441,596.0382555,25997.60654,54037.0,0.552,28110.0,0.318,565.62,0.546947067,0.214326993,3,731.8209144,113.348653,29.060703
云浮市,广东省,2010,376.0117897,109.9134261,7783.654202,17062.0,0.638,16391.0,0.337,282.76,0.360159853,0.473068833,4,161.3227856,111.8078586,22.8546663
运城市,山西省,2010,392.610368,664.3209709,35187.27884,38926.0,0.88,16175.0,0.3875,503.68,0.187256989,0.249904023,2,667.7491088,111.002141,35.027637
枣庄市,山东省,2010,382.8736244,546.075694,33164.86794,94642.0,0.924,36839.0,0.3128,391.03,0.323113429,0.331853926,2,685.8411878,117.3178922,34.8108822
湛江市,广东省,2010,376.0117897,417.6356237,29575.3794,106028.0,0.638,20081.0,0.383,777.77,0.441504301,0.473068833,4,612.9746345,110.3548318,21.2737079
张家界市,湖南省,2010,348.9628441,190.4955865,8308.911821,16595.0,0.552,16238.0,0.6235,164.75,0.18887648,0.214326993,3,233.8921253,110.530142,29.373828
张家口市,河北省,2010,570.6571512,922.8566704,74610.55935,35338.0,0.915,22517.0,0.4121,465.97,0.336995515,0.33552815,2,2013.506087,114.8782861,40.8171433
张掖市,甘肃省,2010,168.391796,198.7858364,8372.43806,12446.0,0.612,17101.0,0.3525,130.83,0.284847512,0.43754724,2,139.6626402,99.924947,39.121833
漳州市,福建省,2010,731.7577114,987.0839323,38044.497,60595.0,0.544,29769.0,0.3662,476.36,0.292058947,0.430036031,3,1495.803683,117.4524304,24.2388257
长春市,吉林省,2010,193.9774982,4070.288797,301519.2624,230581.0,0.679,43936.0,0.4074,758.89,0.44720895,0.2389362,1,4217.35556,125.3180998,43.8844201
长沙市,湖南省,2010,348.9628441,5794.817926,252754.5758,344333.0,0.552,66443.0,0.4196,652.4,0.377762109,0.214326993,3,7114.927463,113.2384362,28.1450774
长治市,山西省,2010,392.610368,654.5687042,34670.72775,31077.0,0.88,27642.0,0.3024,331.54,0.308252398,0.249904023,2,657.9465168,113.0992929,36.1830167
昭通市,云南省,2010,164.9458762,288.1975032,7298.800288,14802.0,0.415,7193.0,0.3434,574.24,0.085635623,0.341849095,5,153.7753245,103.7146923,27.3417508
肇庆市,广东省,2010,376.0117897,507.2239399,35919.68599,37689.0,0.638,27836.0,0.4042,422.41,0.300758505,0.473068833,4,744.4657293,112.4603629,23.0501661
镇江市,江苏省,2010,893.3993105,360.822595,22712.29942,75045.0,0.736,63280.0,0.3952,270.71,0.462214178,0.447119687,3,1029.792306,119.4200069,32.1891959
郑州市,河南省,2010,269.7426061,2904.069856,263266.1028,315780.0,0.844,49947.0,0.4074,963.0,0.33810405,0.318968178,2,6510.180867,113.619321,34.7472531
中山市,广东省,2010,376.0117897,1345.647942,95293.71096,265870.0,0.638,73348.0,0.3922,149.18,0.567114895,0.473068833,4,1975.042378,113.3872302,22.5197073
中卫市,宁夏回族自治区,2010,329.2506938,250.475315,5961.053733,7120.0,0.818,15596.0,0.4016,118.12,0.243440569,0.415716446,7,117.306738,105.496587,36.985074
重庆,,2010,761.8669793,17540.44821,112580.21,664.0264,0.629,24836.4,0.33488,2885.0,0.572616,0.254610079,3,12122.05824,106.33,29.35
舟山市,浙江省,2010,1615.005661,507.0308767,15812.09913,46569.0,0.682,66581.0,0.4485,96.77,0.375713548,0.485890614,3,931.5166579,122.2030363,29.9873344
周口市,河南省,2010,269.7426061,468.6301942,42483.29104,19238.0,0.844,12944.0,0.2481,1224.35,0.130711153,0.318968178,3,1050.548876,114.911944,33.808333
珠海市,广东省,2010,376.0117897,999.0313833,70747.63385,136194.0,0.638,80697.0,0.4255,104.74,1.010087837,0.473068833,4,1466.304267,113.5721327,22.273734
株洲市,湖南省,2010,348.9628441,1240.800041,54120.40413,69678.0,0.552,33604.0,0.3252,390.27,0.264030543,0.214326993,3,1523.465,113.55087,27.049812
驻马店市,河南省,2010,269.7426061,401.0535732,36357.18714,26352.0,0.844,14117.0,0.3054,886.1,0.166600384,0.318968178,3,899.0593987,114.0164565,33.0115818
资阳市,四川省,2010,744.5769505,657.0602177,23429.16036,21579.0,0.289,16644.0,0.2397,501.13,0.152550835,0.277207145,3,1086.986373,105.1336656,30.0928618
淄博市,山东省,2010,382.8736244,1169.131114,71004.953,148353.0,0.924,63397.0,0.347,422.36,0.423941595,0.331853926,2,1468.364698,118.0488401,36.8129564
自贡市,四川省,2010,744.5769505,475.2611887,16946.65162,39970.0,0.289,23053.0,0.2967,325.96,0.33458093,0.277207145,3,786.2330146,104.6928392,29.2995746
遵义市,贵州省,2010,158.985775,695.0672718,51709.71044,121689.0,0.656,14799.0,0.4279,784.16,0.151136758,0.310699515,3,748.1336165,106.9155974,27.6912954
